path,audio,text,duration
/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0000.wav,/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0000.wav,printer connection এর tutorial আপনাদের স্বাগত,5.0
/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0001.wav,/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0001.wav,এই টিউটোরিয়ালে কম্পিউটারে printer যুক্ত করা শিখব,5.0
/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0002.wav,/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0002.wav,এখানে ব্যবহার করছি,2.0
/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0003.wav,/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0003.wav,ubuntu linux 12 . 10 os,4.0
/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0004.wav,/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0004.wav,এবং canon printer,3.0
/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0005.wav,/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0005.wav,আমি কম্পিউটারের বিভিন্ন উপাদান সম্পর্কে দ্রুত বলবো,5.0
/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0006.wav,/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0006.wav,এটি cpu,2.0
/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0007.wav,/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0007.wav,monitor,2.0
/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0008.wav,/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0008.wav,keyboard mouse,3.0
/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0009.wav,/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0009.wav,এবং printer,2.0
/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0010.wav,/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0010.wav,এখন cpu দেখি,7.0
/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0011.wav,/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0011.wav,অনেক cpu তে usb ports সামনে থাকে,5.0
/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0012.wav,/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0012.wav,এবং কিছুতে পেছনে,3.0
/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0013.wav,/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0013.wav,এখন printer একবার দেখি,4.0
/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0014.wav,/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0014.wav,সাধারণত প্রিন্টারের সামনে বা উপরে power switch থাকে,7.0
/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0015.wav,/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0015.wav,প্রিন্টারের পেছনে একটি power slot এবং একটি usb port থাকে,11.0
/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0016.wav,/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0016.wav,printer যুক্ত করতে usb cable ব্যবহার করা হয়,5.0
/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0017.wav,/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0017.wav,এখন usb cable প্রিন্টারের সাথে যুক্ত করি,6.0
/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0018.wav,/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0018.wav,এখন কেবলের অপর প্রান্ত cpu এর usb পোর্টের সাথে যুক্ত করি,8.0
/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0019.wav,/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0019.wav,printer কম্পিউটারের সাথে যুক্ত হয়েছে,3.0
/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0020.wav,/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0020.wav,প্রিন্টারে থাকা power button চালু করুন,4.0
/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0021.wav,/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0021.wav,এখন কম্পিউটারের ব্যবহার printer configure করতে করি,6.0
/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0022.wav,/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0022.wav,এখন desktop এ যাই,3.0
/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0023.wav,/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0023.wav,বামদিকে সবচেয়ে উপরে launcher বারে dash home আইকনে টিপুন,7.0
/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0024.wav,/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0024.wav,search বারে লিখুন printing,5.0
/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0025.wav,/home/abdullahmm/Shivam/subtask2_blindtest_wReadme/bengali/bengali_blind_wav/177687_zZE9FIXSZMfkvbEl_0025.wav,printing icon প্রদর্শিত হবে,4.0
